sensor_reading,noise_level,rolling_avg,reading_diff,pga,snr,p_wave_detected,ttf_seconds
5.84,0.45,5.59,0.11,1.01,21.1,1,13
6.14,0.57,6.36,0.12,1.07,22.22,1,18
6.24,0.6,6.2,0.08,0.98,20.35,1,16
6.13,0.45,6.71,0.01,0.92,16.62,1,17
6.11,0.25,5.99,0.12,0.66,17.16,1,20
4.14,0.21,3.65,-0.0,0.64,11.03,1,15
5.55,0.2,5.41,0.08,0.97,20.27,1,19
3.68,0.32,3.37,0.06,0.69,17.95,1,9
5.91,0.03,5.79,0.08,1.0,19.85,1,19
4.92,0.19,4.66,0.05,0.67,17.36,1,12
4.82,0.26,5.24,0.03,0.52,11.3,1,17
4.4,0.12,4.24,0.09,0.62,22.15,1,17
5.63,0.34,6.27,0.07,0.94,14.46,1,17
4.0,0.3,3.41,0.08,0.76,11.75,1,12
5.58,0.44,5.68,0.16,0.83,14.15,1,17
5.03,0.16,5.11,0.06,0.58,19.8,1,19
4.07,0.21,4.15,0.2,0.7,2.35,1,14
4.19,0.17,4.48,0.15,1.03,13.14,1,16
6.68,0.11,7.42,0.03,0.89,20.15,1,11
7.12,0.47,7.44,0.12,0.72,7.38,1,18
4.51,-0.02,4.87,0.08,0.7,14.24,1,16
6.01,0.44,5.77,0.1,1.03,14.12,1,15
6.19,-0.33,5.86,0.18,0.79,16.62,1,14
4.46,0.14,4.41,-0.0,1.22,24.68,1,23
3.07,0.37,2.9,0.13,0.52,7.38,1,13
5.47,0.6,5.55,0.11,0.85,16.73,1,15
5.77,0.25,5.42,0.06,0.91,12.9,1,19
6.36,0.48,6.43,0.11,0.81,5.43,1,14
5.07,0.86,5.22,0.15,1.06,12.97,1,17
4.2,0.39,4.24,0.1,0.61,9.93,1,18
6.6,0.4,7.13,0.12,0.74,3.61,1,8
4.64,0.24,4.19,0.03,0.71,18.57,1,13
4.83,0.34,5.02,0.06,0.72,17.44,1,21
4.42,0.63,4.14,0.01,0.74,14.49,1,15
5.25,0.71,5.48,0.03,0.73,24.71,1,16
5.29,0.27,4.94,0.12,0.88,16.77,1,20
6.27,0.44,6.28,0.12,0.08,13.95,1,12
4.51,0.4,4.7,0.05,0.53,8.97,1,14
5.83,0.27,5.79,0.1,0.76,14.03,1,11
4.32,0.43,4.44,0.06,0.61,15.11,1,16
4.86,0.2,4.65,0.13,0.93,7.35,1,16
5.0,0.29,4.94,0.15,0.75,21.48,1,19
4.09,0.46,4.61,0.05,0.63,20.64,1,13
4.4,0.48,4.59,0.14,0.82,12.11,1,13
5.04,0.67,5.05,0.14,0.95,17.36,1,16
5.06,0.25,5.06,0.16,1.12,20.35,1,16
4.55,0.24,4.37,0.06,0.52,10.29,1,9
5.77,0.5,5.95,0.12,0.57,6.92,1,12
3.9,0.34,4.26,0.09,0.98,8.95,1,14
4.31,0.34,4.52,0.13,0.95,19.74,1,17
5.18,0.43,4.95,0.05,1.03,9.88,1,18
4.73,0.31,4.44,0.1,0.79,11.14,1,18
5.08,0.38,5.37,0.12,0.44,20.9,1,11
4.34,0.22,4.06,0.18,0.77,4.78,1,18
2.54,0.35,2.12,0.15,1.02,16.06,1,15
4.47,0.42,3.96,0.1,0.44,19.74,1,13
4.37,0.37,4.39,0.11,0.65,16.52,1,13
3.56,0.51,3.63,0.13,1.03,12.83,1,16
4.57,0.37,5.07,0.05,0.88,15.79,1,16
5.47,0.32,5.63,0.13,0.76,6.88,1,19
5.95,0.39,6.42,0.15,0.97,16.1,1,17
6.01,0.29,5.6,0.05,0.94,19.2,1,12
4.28,0.39,4.45,-0.01,1.35,19.71,1,24
5.82,0.13,5.85,0.01,0.52,22.71,1,16
4.92,0.12,4.54,0.07,0.75,12.29,1,13
6.05,0.25,5.83,0.13,0.8,11.26,1,17
3.54,-0.06,3.46,0.05,0.55,17.98,1,13
4.11,0.47,3.76,0.11,0.57,10.62,1,18
4.63,0.08,4.84,0.12,0.64,16.68,1,6
4.51,0.35,4.12,-0.01,0.56,12.84,1,14
4.52,-0.01,4.17,0.1,1.02,21.26,1,15
6.32,0.55,6.18,0.05,0.73,14.51,1,13
4.48,0.38,4.79,0.13,0.94,8.33,1,22
5.45,0.49,5.3,0.15,0.64,17.31,1,14
5.29,0.4,5.54,0.11,1.03,16.22,1,20
6.84,0.25,7.12,0.07,0.5,23.45,1,18
4.59,0.57,4.62,0.08,0.87,26.98,1,16
4.94,0.68,4.49,0.2,0.67,25.21,1,16
4.3,0.12,4.31,0.11,0.87,16.67,1,16
4.73,-0.06,4.71,0.06,0.93,12.31,1,16
5.7,0.08,6.08,0.12,0.79,9.95,1,11
3.72,0.19,3.73,0.09,1.02,17.88,1,22
3.54,0.22,3.77,0.06,0.85,11.17,1,16
5.42,0.37,5.65,0.15,0.94,26.0,1,15
4.56,0.29,4.62,0.09,0.8,13.35,1,5
5.41,0.63,5.66,0.14,0.53,14.17,1,12
6.73,0.26,6.39,0.2,0.43,13.03,1,13
4.4,0.51,4.45,0.11,0.69,20.87,1,13
5.21,0.43,4.96,0.05,1.04,13.41,1,20
6.02,0.27,6.2,0.16,0.84,20.46,1,18
6.41,-0.02,6.33,0.12,1.06,14.62,1,19
5.17,0.23,4.58,0.13,0.79,14.11,1,21
2.85,0.22,2.88,0.14,1.11,18.04,1,16
5.96,0.16,5.69,0.16,0.89,9.04,1,15
5.49,0.36,5.28,0.17,0.73,14.35,1,14
2.27,0.58,2.22,0.07,1.03,16.51,1,17
4.11,0.29,3.69,0.12,1.12,11.91,1,16
4.21,0.33,3.79,0.06,0.4,11.39,1,13
5.68,0.5,5.52,0.09,0.97,15.09,1,14
5.01,0.38,4.95,0.07,1.02,23.45,1,21
4.59,0.16,4.99,0.05,0.92,20.49,1,15
4.38,0.36,5.14,0.18,0.52,13.0,1,12
6.15,0.37,6.53,0.06,0.75,9.76,1,11
5.13,-0.06,5.11,0.07,0.8,15.84,1,15
5.87,0.53,5.17,0.06,0.71,19.16,1,18
5.43,0.19,5.25,0.1,0.86,16.37,1,18
5.23,-0.1,4.82,-0.02,0.55,11.46,1,7
5.5,0.1,5.47,0.13,0.83,14.09,1,20
2.31,0.06,2.62,0.15,0.56,6.52,1,14
5.46,0.19,5.53,0.13,0.67,19.13,1,23
5.9,0.48,5.51,0.13,0.43,9.84,1,12
5.29,0.15,5.41,0.1,0.95,2.79,1,11
6.68,0.46,6.55,0.08,0.89,11.19,1,17
5.42,0.32,6.0,0.06,1.0,8.07,1,15
7.61,0.46,7.5,0.07,0.73,11.24,1,13
7.06,0.53,7.11,-0.0,0.72,19.31,1,18
6.06,0.37,6.03,0.14,0.88,17.62,1,15
4.37,0.38,3.7,0.15,0.73,9.12,1,10
5.68,0.5,6.23,0.01,0.75,14.9,1,19
6.01,0.32,6.23,0.21,0.66,14.35,1,15
5.67,-0.02,5.36,0.1,1.12,16.32,1,18
2.42,0.48,2.71,0.08,1.05,16.32,1,17
5.85,-0.06,6.49,0.13,0.86,14.58,1,13
5.39,0.58,5.77,0.15,1.13,9.67,1,11
3.97,0.3,4.12,0.08,0.65,12.77,1,12
4.63,0.28,4.9,0.16,0.5,17.11,1,20
5.54,0.25,5.44,0.12,1.05,19.17,1,16
3.6,0.05,3.03,0.05,0.62,8.91,1,6
5.7,0.23,5.86,0.02,0.8,16.33,1,17
5.48,-0.09,4.93,0.07,0.92,14.97,1,16
5.57,0.59,5.49,0.07,1.29,13.79,1,19
3.51,-0.02,2.8,0.09,0.65,15.59,1,22
5.73,0.38,5.59,0.12,0.63,17.51,1,14
4.71,0.51,5.03,0.17,0.77,20.91,1,12
5.04,0.06,4.95,0.07,0.96,16.41,1,14
4.02,0.52,4.2,0.05,0.75,20.6,1,17
5.24,0.34,5.52,0.16,0.87,18.58,1,17
5.9,0.45,6.17,0.07,0.88,15.92,1,15
4.93,0.44,4.6,0.08,0.87,11.5,1,18
4.64,0.32,4.66,0.02,1.29,15.22,1,19
5.47,0.39,5.91,0.19,1.07,11.81,1,12
4.47,0.16,4.87,0.14,0.88,16.37,1,14
2.89,0.25,2.56,0.1,0.7,13.31,1,17
3.9,0.14,3.38,0.08,0.78,18.71,1,14
5.22,-0.23,4.43,0.15,0.73,16.35,1,11
4.41,0.32,4.59,0.12,0.69,11.08,1,13
3.99,0.44,4.03,0.12,1.13,10.77,1,19
4.11,0.48,3.96,0.03,0.88,16.62,1,16
6.29,0.45,6.03,0.05,0.49,8.4,1,12
5.51,-0.14,5.13,0.14,0.93,13.32,1,15
4.17,0.23,3.98,0.19,0.8,17.17,1,14
5.88,0.34,6.29,0.11,1.05,16.04,1,8
3.31,0.36,2.98,0.21,1.01,16.7,1,14
5.09,-0.07,4.75,0.02,0.64,11.26,1,18
6.51,0.09,6.38,0.06,0.71,17.59,1,12
4.47,-0.01,4.83,0.1,0.8,16.35,1,17
5.54,0.25,5.87,0.1,0.79,12.94,1,14
3.91,0.04,3.96,0.11,0.92,18.76,1,9
5.12,0.34,5.86,0.07,0.61,11.61,1,17
6.83,0.1,6.47,0.06,0.75,13.88,1,24
5.83,0.04,6.21,0.08,0.49,19.17,1,15
5.24,0.4,5.0,0.17,0.36,7.6,1,16
3.77,0.48,3.83,0.06,1.2,21.45,1,14
5.65,0.48,5.44,0.11,0.79,15.63,1,14
5.79,0.25,5.57,0.13,0.56,20.4,1,17
3.94,0.49,4.06,0.13,0.58,21.05,1,13
3.55,0.58,3.41,0.19,0.69,20.74,1,15
5.35,0.37,5.76,0.12,1.21,17.44,1,22
4.02,0.33,4.45,0.06,0.62,19.88,1,14
6.56,-0.04,6.32,0.08,0.93,7.69,1,16
5.5,0.31,5.77,0.05,0.7,14.96,1,15
4.63,-0.05,4.76,0.15,1.08,12.47,1,22
2.93,0.09,2.75,0.1,1.05,8.49,1,19
3.94,0.19,3.96,0.08,0.98,16.51,1,13
5.61,0.44,5.2,0.19,0.7,20.01,1,13
6.18,-0.1,6.13,0.1,0.91,13.54,1,18
4.91,0.32,5.15,0.13,0.83,20.73,1,17
4.66,0.05,4.56,0.15,0.51,10.83,1,12
4.3,0.35,4.29,0.13,0.61,18.01,1,17
4.85,0.48,4.77,0.12,0.7,19.83,1,17
6.31,0.1,6.48,0.06,0.74,10.09,1,12
4.56,-0.16,4.27,0.19,0.9,3.55,1,16
4.86,0.26,4.91,0.02,1.11,7.66,1,12
4.69,0.33,4.73,-0.02,0.96,17.63,1,14
5.0,0.21,4.39,0.09,1.23,11.68,1,19
4.31,0.13,4.17,0.06,0.87,20.2,1,13
3.47,-0.36,3.51,0.1,0.64,20.59,1,18
5.45,-0.07,5.18,0.04,0.88,11.33,1,15
4.59,0.37,4.51,0.09,0.69,18.61,1,15
5.54,0.28,5.89,0.08,0.84,18.87,1,18
4.23,0.53,4.43,0.15,0.93,9.47,1,16
5.07,0.57,5.05,0.19,1.07,21.36,1,18
8.22,0.56,8.11,0.11,0.74,9.87,1,13
4.37,0.49,4.43,0.06,0.69,8.44,1,9
5.26,0.24,5.84,0.12,1.17,13.06,1,17
5.57,0.54,5.3,0.02,0.59,20.75,1,18
2.94,0.12,2.95,0.09,0.81,15.63,1,11
5.05,0.64,5.34,0.16,1.0,16.87,1,19
6.04,0.45,6.28,0.12,0.95,15.37,1,17
5.7,0.35,6.19,0.07,0.89,15.07,1,18
3.88,0.05,3.94,0.11,0.58,14.28,1,14
5.94,0.48,6.26,0.05,0.79,21.55,1,18
4.02,0.48,4.12,0.08,0.76,14.53,1,20
5.21,0.36,5.33,0.02,0.77,22.63,1,20
5.8,0.33,5.96,0.08,1.23,13.71,1,17
4.37,0.17,4.3,0.08,0.88,15.31,1,16
4.45,0.71,4.17,0.15,0.55,17.07,1,16
6.08,0.59,6.17,0.03,0.61,22.41,1,19
3.57,0.42,3.41,0.08,1.15,12.59,1,15
5.52,0.05,5.74,0.05,0.8,20.93,1,15
4.6,0.52,4.93,-0.0,0.96,18.45,1,13
5.04,0.03,4.97,0.1,0.53,19.5,1,13
6.43,0.12,6.24,0.18,0.69,11.1,1,13
4.28,0.3,3.79,0.11,1.2,15.27,1,20
4.97,0.36,4.73,0.16,0.69,15.89,1,13
6.12,0.24,5.78,0.14,1.0,15.77,1,17
4.13,0.43,4.12,0.08,0.94,23.2,1,16
4.49,0.3,4.44,0.05,0.65,13.3,1,15
5.15,0.02,5.17,0.04,0.72,15.62,1,13
4.91,0.12,4.73,0.1,0.83,14.27,1,11
3.81,0.46,4.33,0.06,0.84,4.4,1,8
4.81,-0.01,5.47,0.1,0.54,22.44,1,17
5.86,0.59,5.87,0.08,0.56,14.43,1,16
5.16,-0.01,4.78,0.12,1.0,11.47,1,13
4.85,0.15,4.25,0.13,1.05,6.29,1,17
6.27,0.3,6.28,-0.02,0.75,12.92,1,10
5.76,0.29,6.04,0.12,1.08,18.62,1,13
6.13,0.47,6.37,0.1,0.72,13.17,1,13
5.05,0.39,4.86,0.17,0.92,16.37,1,14
5.13,0.41,5.32,0.08,0.78,17.62,1,14
5.4,-0.2,5.48,0.12,0.96,13.54,1,20
4.87,0.03,4.98,0.05,0.82,16.91,1,15
6.98,0.74,7.36,0.12,0.79,9.49,1,19
5.42,0.24,5.53,0.07,0.97,12.99,1,15
4.51,-0.05,3.87,0.06,0.48,5.22,1,12
2.97,0.36,3.33,0.15,0.68,9.63,1,13
8.18,0.2,8.5,0.08,0.64,18.1,1,17
4.04,0.17,3.38,0.13,0.89,18.9,1,16
6.87,0.48,6.66,0.12,1.05,8.87,1,17
5.26,0.22,5.39,0.12,0.64,15.16,1,12
5.36,0.16,5.46,0.08,0.3,15.47,1,12
4.54,-0.18,4.79,0.12,0.76,26.08,1,13
5.54,0.52,6.03,0.26,0.63,14.21,1,11
5.57,0.46,5.55,0.15,0.72,19.76,1,19
4.27,0.29,4.21,0.1,0.93,22.42,1,19
5.21,0.51,5.78,0.07,0.66,12.22,1,16
3.57,-0.2,3.66,0.13,1.0,12.74,1,18
5.45,0.08,5.67,0.12,0.95,15.61,1,16
5.34,0.42,5.29,0.16,1.03,18.61,1,14
4.8,0.54,4.32,0.04,0.89,11.04,1,13
6.02,-0.22,5.79,0.08,0.58,19.08,1,12
5.71,0.03,5.5,0.14,0.68,21.17,1,18
4.62,0.48,4.46,0.1,0.7,17.27,1,20
4.18,0.61,3.89,0.06,0.69,21.62,1,14
5.02,0.38,4.49,0.05,1.08,7.64,1,14
4.42,0.51,4.73,0.19,1.09,19.73,1,17
6.34,0.48,6.51,0.12,0.91,11.77,1,11
4.41,0.37,4.45,0.17,0.85,12.52,1,12
4.63,0.43,4.62,0.11,0.49,9.98,1,18
5.33,0.06,5.36,0.14,0.86,12.7,1,15
5.8,0.18,6.45,0.09,1.1,19.16,1,16
4.71,0.47,4.28,0.08,0.87,16.31,1,15
7.03,0.28,6.83,0.13,0.93,18.71,1,13
4.95,0.22,4.89,0.18,0.81,12.22,1,17
4.62,0.18,5.23,0.05,0.78,20.06,1,17
5.73,0.14,5.82,0.12,0.96,9.62,1,11
7.17,0.16,7.23,0.11,0.56,17.5,1,18
4.88,0.29,5.12,0.18,0.96,23.09,1,21
7.5,0.37,7.45,0.15,0.76,23.96,1,18
4.94,0.48,4.91,0.08,0.49,22.06,1,13
5.23,0.21,4.9,0.1,0.89,17.25,1,16
5.36,0.32,5.74,0.09,0.69,17.51,1,14
4.18,0.13,4.57,0.03,0.59,8.24,1,14
4.21,0.05,4.55,0.15,0.87,17.02,1,13
4.95,0.06,5.07,-0.03,0.88,20.43,1,13
5.34,0.16,4.81,0.1,0.69,5.41,1,14
6.76,0.27,6.35,0.08,0.72,14.64,1,13
5.48,0.41,5.58,0.14,0.84,23.7,1,12
4.02,0.31,3.65,0.11,0.57,16.86,1,20
5.01,0.81,4.8,0.1,0.38,14.76,1,16
4.25,0.41,4.54,0.12,0.8,12.68,1,18
4.99,0.32,5.06,0.08,0.75,8.53,1,18
6.53,0.07,6.84,0.06,0.78,10.25,1,20
5.62,0.09,5.67,0.11,0.84,12.01,1,13
4.01,0.17,3.72,0.08,1.17,10.76,1,11
5.45,0.09,5.07,0.03,0.89,18.78,1,14
6.21,0.17,6.4,0.01,0.5,8.41,1,11
4.17,0.13,3.88,0.11,1.0,12.05,1,13
3.93,0.24,3.65,0.08,0.5,7.41,1,14
5.11,0.3,4.93,0.13,0.9,26.28,1,14
5.31,0.33,5.33,0.12,0.53,9.6,1,15
5.12,0.07,4.81,0.11,0.8,16.71,1,12
4.24,0.29,3.77,0.15,0.8,14.57,1,15
3.09,0.03,2.44,0.12,0.68,13.63,1,18
5.66,0.55,5.21,0.11,0.99,20.66,1,12
4.69,0.01,4.5,0.05,1.1,25.01,1,13
4.63,0.27,4.35,0.07,0.9,21.87,1,19
4.47,0.42,4.34,0.08,0.71,18.51,1,18
4.83,0.21,5.17,0.13,0.62,18.4,1,19
4.64,0.36,4.58,0.07,0.92,23.2,1,14
5.79,-0.02,5.97,0.01,0.59,15.35,1,14
6.0,0.29,5.96,0.07,0.71,24.09,1,17
6.86,0.21,7.08,0.16,0.93,10.06,1,18
5.85,0.55,5.16,0.15,0.8,16.01,1,16
5.56,0.46,5.57,0.07,0.87,14.42,1,17
4.51,0.02,4.19,0.11,0.67,19.18,1,13
6.46,0.35,6.24,0.12,0.88,12.88,1,13
5.1,0.21,4.85,0.03,0.78,15.87,1,15
5.53,0.05,5.3,0.16,0.79,22.12,1,15
5.52,0.3,5.26,0.04,0.72,8.31,1,11
7.1,0.52,7.53,0.08,0.49,19.34,1,21
5.78,-0.11,5.32,0.06,0.7,14.41,1,13
4.99,0.51,5.64,0.09,0.86,16.54,1,16
6.07,0.17,6.07,0.16,0.65,13.06,1,12
3.67,0.13,3.93,0.17,0.91,18.54,1,16
5.34,0.37,4.65,0.11,1.16,7.18,1,17
3.79,0.62,3.77,0.08,0.79,22.38,1,14
4.02,0.05,3.9,0.14,0.82,14.88,1,15
4.59,0.05,4.65,0.1,0.71,8.39,1,8
5.32,0.19,5.18,0.11,0.76,15.57,1,11
4.95,0.21,5.09,0.11,1.12,13.4,1,21
4.0,0.32,4.2,0.15,0.67,17.84,1,15
5.91,0.22,5.53,0.12,0.89,13.11,1,19
4.52,0.44,4.25,0.09,1.0,19.58,1,19
6.32,0.43,6.34,0.16,1.11,11.88,1,14
5.33,0.51,5.47,0.1,0.9,7.23,1,14
4.02,0.25,3.8,0.11,0.87,13.92,1,18
4.07,0.22,4.26,0.18,0.39,15.7,1,15
6.67,0.36,7.15,0.12,0.52,13.63,1,14
5.26,0.24,5.43,0.16,0.62,16.09,1,11
2.9,0.16,2.36,0.19,0.87,11.37,1,11
4.73,0.64,4.25,0.03,0.43,9.15,1,8
4.84,0.33,4.48,0.11,0.5,16.89,1,15
4.74,0.43,4.88,0.05,1.01,10.86,1,17
5.99,0.54,6.01,0.06,0.6,22.27,1,21
5.16,0.2,5.28,0.12,0.94,21.4,1,24
3.59,0.55,3.69,0.04,0.95,11.21,1,17
6.2,0.03,6.06,0.02,1.22,23.67,1,21
4.32,0.5,3.92,-0.01,0.99,9.39,1,16
5.9,0.12,5.66,0.14,0.72,10.05,1,11
4.96,0.39,4.92,0.05,1.03,18.3,1,15
4.69,0.54,4.88,0.17,0.64,16.98,1,11
6.35,0.22,6.38,0.07,0.95,12.48,1,15
5.39,0.64,6.07,0.1,0.89,15.7,1,14
6.64,0.65,6.49,0.11,0.91,20.68,1,17
4.46,0.03,4.1,0.09,0.95,3.91,1,8
3.66,0.28,3.04,0.13,0.81,17.63,1,18
5.29,0.48,4.98,0.17,1.26,17.8,1,16
5.56,0.28,5.86,0.1,0.87,15.62,1,17
5.42,0.35,5.53,0.11,0.73,11.98,1,7
5.63,0.81,5.78,0.09,0.76,20.18,1,13
5.41,0.67,5.52,0.09,0.59,25.81,1,16
4.33,0.17,3.62,0.08,0.53,14.4,1,14
3.09,0.29,2.78,0.1,0.77,13.23,1,21
7.07,0.27,6.56,0.1,0.82,2.24,1,9
4.0,0.04,3.84,0.1,0.74,9.6,1,19
4.65,0.54,5.55,0.11,0.88,12.72,1,11
4.26,0.16,4.08,-0.0,0.98,17.49,1,11
4.03,0.37,4.07,0.06,1.25,23.48,1,18
5.25,0.35,4.93,0.11,0.87,13.3,1,14
5.47,0.3,5.62,0.02,0.75,20.12,1,20
5.07,0.33,4.99,0.08,0.8,16.24,1,16
4.24,0.58,4.09,0.06,0.63,9.19,1,14
5.56,0.5,5.22,0.06,0.92,9.89,1,15
6.68,0.14,6.65,0.2,0.72,23.24,1,10
5.49,0.35,5.75,0.13,0.45,13.61,1,6
5.09,0.17,5.12,0.11,0.81,20.15,1,17
4.81,0.13,4.77,0.16,0.62,10.96,1,11
4.8,0.38,4.68,0.18,0.7,17.25,1,20
5.84,0.12,5.82,0.06,0.9,5.75,1,16
4.37,0.26,4.29,0.11,0.78,20.11,1,12
6.0,0.47,6.11,0.07,0.85,13.82,1,12
5.46,0.61,5.69,0.07,0.87,19.72,1,15
2.99,0.16,3.06,0.09,0.89,20.49,1,17
7.04,0.02,6.74,0.15,0.93,18.5,1,10
4.74,0.37,4.77,0.05,1.16,18.23,1,21
6.04,-0.0,6.11,0.14,0.59,21.08,1,18
4.55,0.64,3.99,0.08,0.71,6.92,1,8
4.91,0.41,4.88,0.11,0.71,15.31,1,11
3.29,0.5,3.17,0.11,0.27,8.48,1,16
5.64,0.1,5.45,0.12,1.06,9.33,1,17
6.61,0.42,6.8,0.09,0.61,12.54,1,13
3.14,0.24,2.91,0.11,0.7,10.36,1,14
6.03,-0.01,5.43,0.17,0.87,4.27,1,10
4.07,0.29,4.65,0.06,0.67,18.81,1,15
5.4,0.45,5.57,0.07,1.11,21.25,1,13
6.03,0.42,6.32,0.1,0.88,-0.63,1,15
4.31,0.71,4.08,0.11,0.72,20.46,1,19
5.49,0.34,5.51,0.09,0.86,15.19,1,13
4.21,0.16,4.37,0.06,0.57,20.98,1,13
4.01,0.42,3.92,0.12,1.07,17.04,1,11
3.47,0.37,3.16,0.07,1.02,25.27,1,21
4.5,0.12,4.59,0.05,0.8,13.85,1,13
3.41,0.24,3.74,0.07,1.08,12.21,1,14
5.56,-0.05,5.45,0.12,1.01,18.98,1,14
4.75,-0.19,4.56,0.05,1.02,13.16,1,11
4.37,0.47,4.47,0.12,0.84,17.42,1,16
5.23,0.44,5.48,0.12,0.81,16.33,1,14
3.16,0.46,3.84,0.11,0.8,19.64,1,13
4.87,0.46,4.95,0.1,0.94,14.71,1,17
4.84,0.31,5.19,0.14,1.23,8.42,1,15
4.49,0.34,4.28,0.09,0.79,16.92,1,18
4.67,0.52,4.44,0.14,0.77,4.35,1,13
4.53,0.18,4.41,0.12,0.91,14.07,1,16
4.34,0.51,4.7,0.15,0.95,13.4,1,12
3.73,0.2,3.72,0.09,1.02,13.48,1,19
4.87,-0.08,5.27,0.12,0.83,12.82,1,15
5.99,0.22,6.13,0.07,0.78,16.81,1,12
6.2,0.09,6.35,0.1,0.5,11.09,1,5
5.09,0.78,5.57,0.04,0.93,14.09,1,16
5.17,0.29,5.1,0.09,1.17,13.74,1,20
7.35,0.04,7.5,0.14,0.88,15.9,1,19
4.0,0.47,4.15,0.19,1.05,11.96,1,15
5.01,-0.14,5.26,0.16,0.69,15.17,1,15
5.53,0.09,5.36,0.17,0.63,12.57,1,13
2.64,0.22,2.78,0.12,1.02,13.47,1,15
5.39,0.36,5.0,0.08,0.72,11.51,1,10
5.22,0.38,5.26,0.13,1.01,10.1,1,11
5.58,0.19,5.34,0.08,0.04,22.75,1,9
5.52,0.7,5.39,0.16,0.6,20.18,1,19
4.55,-0.14,4.41,0.08,0.73,7.05,1,7
4.88,0.31,4.68,0.2,1.09,23.23,1,15
6.28,0.67,6.09,-0.03,0.84,15.42,1,12
6.49,0.26,6.36,0.12,1.05,15.15,1,18
4.49,0.56,4.69,0.07,0.86,16.76,1,13
4.09,0.39,4.35,0.1,0.57,20.33,1,18
2.94,0.2,2.78,0.13,0.94,17.26,1,17
5.38,0.64,5.4,0.07,1.29,21.91,1,20
6.74,0.22,6.56,0.13,0.66,21.73,1,13
6.47,0.76,6.69,0.07,1.05,12.98,1,11
2.96,0.41,3.02,0.06,0.21,15.57,1,11
4.86,0.4,5.24,0.11,0.29,13.55,1,10
3.68,0.74,3.44,0.04,0.75,16.64,1,17
5.1,0.4,4.99,0.15,0.22,12.81,1,10
3.78,0.43,4.08,0.09,0.81,11.24,1,12
3.83,0.22,4.08,0.03,0.79,18.49,1,13
4.57,0.24,4.46,0.07,0.79,10.21,1,12
4.48,0.39,4.86,0.14,1.01,7.97,1,11
5.86,0.24,6.35,0.05,0.41,15.26,1,13
6.1,0.43,6.34,0.09,0.94,14.74,1,14
5.05,0.15,4.57,0.14,1.15,14.33,1,17
3.35,0.13,3.74,0.14,0.85,20.08,1,20
4.56,0.44,4.45,0.1,0.86,17.17,1,19
6.68,0.34,6.94,0.12,0.7,12.97,1,14
