sensor_reading,noise_level,rolling_avg,reading_diff,pga,snr,p_wave_detected,ttf_seconds
5.4,0.27,5.24,0.03,0.82,12.52,1,16
5.04,0.34,5.06,0.08,0.85,21.2,1,19
5.53,-0.03,5.39,0.11,1.15,9.82,1,15
6.15,0.36,6.17,0.05,0.41,10.76,1,13
6.13,-0.01,6.15,0.04,0.63,11.5,1,16
5.53,0.05,5.3,0.16,0.79,22.12,1,15
5.65,0.5,6.12,0.04,1.35,24.95,1,20
5.45,0.2,5.71,0.15,0.48,8.85,1,8
3.37,0.82,3.49,0.09,0.79,15.39,1,18
0.66,0.89,0.97,0.09,-0.03,-1.4,0,0
1.7,0.94,1.42,-0.01,-0.14,-3.76,0,0
4.63,0.45,4.83,0.03,0.48,14.81,1,16
3.64,0.22,3.75,0.15,0.94,13.48,1,13
0.37,0.7,0.35,0.02,0.21,5.23,0,0
0.34,1.04,0.52,0.03,0.2,4.8,0,0
1.29,0.88,0.51,-0.05,-0.18,3.7,0,0
4.67,0.18,4.11,0.11,0.79,-0.75,1,10
5.64,0.08,6.15,0.11,0.99,8.07,1,12
5.05,0.33,5.09,0.04,0.61,12.68,1,14
-0.38,0.94,-0.65,0.01,0.19,0.37,0,0
1.96,0.67,1.59,0.07,0.25,-2.26,0,0
-1.34,0.81,-1.34,0.01,0.16,-1.91,0,0
-0.19,1.07,0.39,0.09,-0.28,5.54,0,0
1.53,0.8,1.21,0.08,-0.16,9.09,0,0
0.68,1.17,0.58,-0.01,0.07,10.24,0,0
4.15,0.15,3.83,0.05,0.89,26.32,1,14
6.08,0.27,5.62,0.07,0.77,8.64,1,12
4.86,0.47,4.64,0.16,0.96,14.88,1,15
1.76,1.15,2.17,-0.05,0.41,-10.43,0,0
6.29,0.29,6.51,0.15,0.56,21.09,1,13
0.84,0.88,0.78,0.07,-0.0,1.11,0,0
-0.13,0.97,-0.38,0.0,-0.07,1.42,0,0
-1.35,0.78,-1.58,0.09,-0.05,-2.49,0,0
5.81,0.52,6.22,0.02,0.79,11.25,1,20
4.56,-0.06,4.57,0.08,1.1,14.56,1,15
2.89,0.39,3.14,0.06,1.05,13.95,1,18
0.96,0.78,1.05,-0.0,-0.16,5.9,0,0
5.53,0.26,5.73,0.11,1.15,15.28,1,17
1.48,0.63,1.3,0.02,-0.32,-3.69,0,0
0.25,1.02,0.12,0.07,0.41,0.69,0,0
0.1,0.6,0.02,-0.11,-0.17,16.12,0,0
-0.22,0.94,-0.28,0.03,0.23,-2.28,0,0
0.86,1.01,0.87,-0.01,0.35,2.61,0,0
0.5,0.96,0.77,0.01,0.09,-3.04,0,0
6.66,0.05,6.5,0.15,0.61,10.1,1,11
3.8,0.31,3.98,0.11,1.11,17.08,1,17
6.01,0.39,5.69,0.02,0.9,17.38,1,14
0.7,0.83,0.69,-0.02,0.0,0.96,0,0
4.77,0.38,4.69,-0.01,1.1,10.23,1,16
5.69,0.16,6.05,0.14,0.81,11.22,1,13
0.66,0.88,0.84,-0.05,-0.0,0.07,0,0
-0.26,0.86,-0.98,-0.05,0.04,9.86,0,0
1.85,0.73,2.04,0.03,0.09,8.86,0,0
1.56,0.79,1.39,-0.05,-0.06,-2.28,0,0
4.8,-0.07,4.92,0.16,0.61,16.43,1,13
4.66,0.42,4.88,0.12,0.84,11.91,1,16
3.19,0.32,3.08,0.0,0.99,21.55,1,21
4.08,0.04,4.15,0.17,0.61,17.65,1,13
-1.22,0.74,-1.33,0.06,0.05,1.28,0,0
4.1,0.3,4.18,0.17,0.8,14.39,1,17
-0.71,1.2,-0.73,-0.04,-0.25,-1.11,0,0
1.12,0.88,1.12,-0.06,0.14,2.77,0,0
4.93,0.06,5.33,0.12,1.28,18.08,1,20
4.59,0.52,4.52,0.1,0.45,24.37,1,20
1.31,0.75,1.67,0.0,0.06,0.12,0,0
-0.6,0.58,-0.62,0.06,0.35,14.96,0,0
4.09,0.42,4.07,0.13,0.69,11.8,1,13
5.02,0.36,5.09,0.08,0.74,17.59,1,16
5.66,0.47,5.26,0.13,1.25,12.78,1,16
0.11,0.73,-0.79,0.06,0.03,14.59,0,0
1.32,0.67,1.15,0.02,0.36,1.55,0,0
0.1,1.42,0.11,0.01,-0.2,2.13,0,0
1.34,0.97,1.32,-0.0,0.2,13.13,0,0
0.83,0.52,1.1,0.06,0.07,-13.06,0,0
-1.75,0.71,-1.92,0.05,0.01,-1.11,0,0
1.86,0.82,2.23,-0.04,-0.22,-4.24,0,0
5.28,0.17,5.77,0.14,0.64,19.42,1,17
4.42,0.08,4.36,0.17,0.58,10.42,1,15
5.52,-0.05,5.77,0.2,0.89,21.75,1,14
4.72,0.1,4.79,0.08,0.84,11.35,1,13
5.2,0.22,4.74,0.12,0.53,14.95,1,11
0.96,0.44,0.82,0.05,0.3,8.78,0,0
5.4,-0.06,4.98,0.11,0.72,17.26,1,18
-0.84,0.82,-0.5,-0.02,0.31,3.16,0,0
1.1,0.73,1.17,0.07,-0.3,9.15,0,0
5.03,0.16,5.08,0.16,1.0,20.45,1,17
4.28,0.03,4.12,0.04,0.66,19.52,1,13
4.33,0.17,3.62,0.08,0.53,14.4,1,14
1.95,0.59,1.88,0.05,0.2,3.33,0,0
4.13,0.37,4.12,0.1,0.85,13.03,1,13
1.12,0.9,0.69,-0.06,0.31,-4.02,0,0
4.4,0.15,4.76,0.1,0.71,19.27,1,17
4.23,0.35,4.45,0.13,1.16,19.08,1,19
-0.29,0.59,-0.95,-0.07,0.09,0.72,0,0
5.19,0.36,5.48,0.11,0.96,12.22,1,14
-0.44,0.77,-0.56,0.04,-0.06,15.39,0,0
5.57,0.11,5.89,0.11,1.36,16.41,1,15
1.53,0.4,0.86,-0.03,0.0,0.37,0,0
4.11,0.29,3.69,0.12,1.12,11.91,1,16
1.26,0.76,1.56,-0.04,0.05,2.73,0,0
4.3,0.34,4.42,0.15,0.82,9.65,1,16
0.87,0.59,0.96,-0.01,0.25,-3.68,0,0
0.49,0.74,0.39,0.09,-0.06,-5.05,0,0
1.92,0.8,2.03,0.03,0.14,-4.63,0,0
6.49,0.64,6.24,0.2,0.66,27.39,1,12
4.89,0.6,4.99,0.13,0.67,18.54,1,19
5.26,0.12,5.02,0.05,0.7,21.6,1,11
4.62,0.41,4.45,0.16,0.9,20.76,1,21
-0.97,0.74,-0.96,-0.02,-0.08,1.97,0,0
-1.28,0.54,-1.62,0.01,0.19,1.86,0,0
5.93,0.44,5.48,0.15,0.45,2.2,1,12
6.01,0.3,5.63,0.04,0.52,14.52,1,10
4.21,0.35,3.89,0.14,0.48,20.09,1,16
2.89,0.87,2.81,0.13,0.3,5.03,0,0
2.43,0.63,2.18,0.02,-0.12,1.25,0,0
0.63,0.79,0.88,0.07,0.02,-2.26,0,0
0.52,0.92,0.77,0.05,0.33,5.32,0,0
6.56,0.58,7.07,0.03,0.88,23.41,1,16
5.39,0.37,5.8,0.09,0.75,17.18,1,15
1.16,0.99,1.45,0.02,-0.01,4.21,0,0
3.05,-0.18,3.24,0.03,0.93,16.24,1,13
4.67,0.25,5.05,0.12,0.83,19.7,1,17
0.58,0.72,0.89,0.07,0.36,2.06,0,0
4.92,0.29,4.73,0.1,0.51,17.08,1,16
5.16,0.11,4.97,0.07,0.79,20.44,1,20
4.46,0.03,4.1,0.09,0.95,3.91,1,8
4.1,0.58,4.25,0.08,1.02,10.63,1,17
4.05,0.55,4.15,0.16,0.63,2.46,1,12
1.46,0.76,0.77,0.03,0.12,-0.25,0,0
4.38,0.16,4.28,0.12,0.65,19.78,1,16
5.48,0.49,5.66,0.09,0.67,13.62,1,21
2.71,0.15,2.71,0.11,0.44,21.65,1,15
5.34,0.24,5.15,0.02,0.72,13.36,1,16
1.35,0.73,1.15,0.05,-0.24,1.33,0,0
-0.68,1.14,-1.2,0.01,0.05,0.85,0,0
0.37,0.88,0.58,-0.05,-0.17,6.24,0,0
7.46,-0.22,7.62,0.12,0.83,14.46,1,14
-0.39,1.06,-0.25,0.07,-0.23,-0.35,0,0
6.89,0.26,6.86,0.13,0.79,12.32,1,17
5.98,0.23,6.19,0.09,0.67,12.87,1,14
-0.8,1.07,-1.15,0.02,-0.19,9.36,0,0
2.52,0.94,2.37,-0.08,0.11,0.5,0,0
5.35,0.26,5.84,0.19,0.54,18.05,1,14
6.14,0.04,6.12,0.11,0.69,22.06,1,17
5.83,0.04,6.21,0.08,0.49,19.17,1,15
4.69,0.18,4.56,0.01,1.03,11.14,1,15
0.32,0.95,-0.0,0.02,0.16,8.25,0,0
4.18,0.59,4.45,0.11,1.04,9.61,1,11
-0.19,0.92,-0.51,0.06,0.07,6.58,0,0
6.71,0.38,6.64,0.15,0.46,22.14,1,13
4.88,0.27,5.26,0.13,0.55,21.32,1,12
0.08,0.58,0.44,-0.06,-0.29,-3.51,0,0
0.71,0.86,0.95,-0.02,0.08,3.95,0,0
-0.03,0.72,-0.58,0.02,0.09,15.37,0,0
5.1,0.21,4.85,0.03,0.78,15.87,1,15
2.22,0.69,2.13,0.16,0.41,15.66,1,15
-0.23,1.0,-0.15,0.05,0.04,0.24,0,0
5.67,0.37,6.07,0.15,0.7,6.38,1,10
4.25,0.41,4.54,0.12,0.8,12.68,1,18
0.29,0.21,-0.12,-0.05,-0.16,-5.27,0,0
3.64,0.73,3.89,-0.03,0.04,0.65,0,0
0.25,0.59,0.54,0.01,0.07,9.99,0,0
0.84,0.92,1.41,0.03,-0.41,-2.02,0,0
2.08,0.94,1.92,0.05,-0.32,2.06,0,0
6.27,-0.22,6.23,0.09,0.57,17.52,1,16
5.51,0.65,5.68,0.1,0.77,7.66,1,14
0.93,0.82,0.64,0.06,0.1,6.69,0,0
0.56,0.4,0.75,-0.08,0.14,3.7,0,0
0.5,0.78,0.8,0.04,0.09,-1.25,0,0
0.72,0.41,0.78,0.03,0.2,10.72,0,0
-0.7,0.76,-0.42,0.03,-0.14,9.83,0,0
-1.3,0.69,-1.57,0.02,-0.01,-3.85,0,0
2.7,0.21,1.78,0.1,0.58,19.83,1,16
0.27,0.52,0.33,0.12,-0.17,0.93,0,0
-0.06,1.04,0.3,0.09,0.19,-0.8,0,0
7.37,0.42,7.18,0.07,0.7,20.09,1,15
2.05,0.94,2.13,-0.01,-0.18,4.79,0,0
-1.27,0.8,-1.3,-0.01,0.07,4.07,0,0
4.64,0.31,5.0,0.06,0.83,20.75,1,13
1.1,0.54,1.27,0.02,0.12,18.52,0,0
0.93,0.8,0.91,0.04,-0.07,9.79,0,0
5.32,0.53,5.07,0.02,0.53,18.24,1,11
3.7,0.53,3.39,0.04,0.88,15.94,1,23
5.43,0.33,5.75,0.05,0.95,24.56,1,12
5.0,0.46,5.44,0.07,0.62,22.19,1,20
-0.4,0.56,-0.94,0.14,0.18,3.78,0,0
3.54,-0.14,3.66,0.09,1.26,20.21,1,17
1.02,0.65,1.16,-0.08,-0.25,3.66,0,0
5.8,0.33,5.96,0.08,1.23,13.71,1,17
3.58,0.03,3.95,0.01,0.53,13.54,1,17
5.35,0.37,5.77,0.09,0.77,13.6,1,17
6.73,0.26,6.39,0.2,0.43,13.03,1,13
0.46,0.88,0.64,0.11,-0.23,4.95,0,0
-0.58,0.89,-0.12,0.0,0.15,-4.89,0,0
0.01,1.06,0.07,-0.06,0.13,14.53,0,0
0.31,1.19,0.19,-0.07,-0.24,-2.4,0,0
5.16,0.2,4.96,0.07,0.88,5.33,1,14
1.12,0.6,1.29,0.05,0.15,-2.94,0,0
-1.0,0.79,-0.67,0.0,0.12,-1.3,0,0
5.68,0.15,5.66,0.15,0.49,17.38,1,12
4.95,0.41,5.13,0.06,0.51,13.12,1,14
4.67,0.43,4.5,0.05,1.01,16.18,1,17
-2.33,0.75,-2.8,0.12,-0.14,0.98,0,0
0.98,0.64,0.55,0.04,-0.37,5.05,0,0
4.88,0.09,4.64,0.11,1.01,8.04,1,17
0.56,0.73,0.44,0.07,0.17,3.84,0,0
0.71,0.82,0.73,0.03,-0.28,-0.26,0,0
6.47,0.39,6.27,0.09,0.69,13.16,1,17
1.01,1.08,1.41,0.03,0.29,1.16,0,0
0.85,1.14,0.77,-0.02,-0.07,1.59,0,0
3.86,0.6,4.04,0.09,0.81,9.76,1,11
1.08,0.89,0.76,0.09,-0.36,11.72,0,0
0.45,1.04,0.43,0.04,0.14,1.5,0,0
4.83,0.06,4.59,0.16,0.39,17.07,1,11
-1.3,0.72,-1.18,-0.01,-0.13,4.06,0,0
5.17,0.61,5.29,0.15,0.66,8.07,1,13
2.57,0.61,2.87,0.01,-0.21,4.04,0,0
3.41,0.42,3.2,0.17,0.85,19.27,1,21
2.93,0.09,2.75,0.1,1.05,8.49,1,19
6.66,0.28,6.98,0.04,0.72,9.89,1,19
4.52,0.66,4.62,0.12,0.63,12.68,1,12
5.89,0.04,5.93,0.16,0.53,2.98,1,18
5.8,0.43,5.72,-0.01,0.91,15.21,1,13
1.85,0.83,1.63,0.04,-0.08,2.37,0,0
4.59,0.17,3.99,0.11,1.02,17.68,1,19
-1.62,0.76,-2.2,-0.07,0.07,4.36,0,0
1.74,1.07,1.81,0.04,-0.03,-4.16,0,0
5.55,0.39,5.22,0.12,0.87,16.23,1,12
5.3,0.18,5.45,0.15,0.74,8.39,1,14
-0.38,0.85,-0.9,0.07,0.13,6.27,0,0
1.56,0.55,1.82,-0.03,0.3,8.98,0,0
0.02,0.77,-0.33,0.05,-0.21,7.89,0,0
0.22,0.75,0.5,-0.0,-0.09,-4.16,0,0
4.42,0.42,5.11,0.09,0.81,7.65,1,15
5.7,0.35,6.19,0.07,0.89,15.07,1,18
5.55,0.54,5.61,0.09,1.29,21.55,1,18
5.87,0.65,6.23,0.1,0.97,15.51,1,20
6.68,0.21,6.8,0.14,0.86,10.15,1,14
-0.85,1.09,-0.66,0.01,-0.19,2.54,0,0
6.17,0.51,6.47,0.03,0.63,11.74,1,12
5.43,0.19,5.25,0.1,0.86,16.37,1,18
0.42,0.95,0.46,-0.02,0.15,0.12,0,0
0.99,0.77,0.53,0.06,0.19,3.35,0,0
1.23,0.78,1.04,0.04,0.02,3.32,0,0
2.35,0.69,2.5,-0.03,0.16,0.9,0,0
1.19,0.73,0.75,0.07,-0.11,1.79,0,0
0.21,0.72,-0.11,0.03,0.11,2.29,0,0
6.72,0.29,6.36,0.06,0.76,17.52,1,16
-0.35,0.35,-0.36,0.01,0.15,5.84,0,0
0.52,0.84,0.79,-0.02,-0.2,1.15,0,0
4.87,-0.08,5.27,0.12,0.83,12.82,1,15
4.42,0.47,3.8,0.06,0.27,14.61,1,14
3.6,0.24,3.33,0.12,0.44,16.51,1,10
1.82,0.74,1.72,-0.03,-0.13,-2.63,0,0
1.94,0.68,2.39,0.01,0.38,-4.16,0,0
-0.27,0.78,-0.18,0.02,-0.1,8.28,0,0
0.64,0.95,0.44,0.06,0.18,-0.7,0,0
0.16,0.82,0.46,-0.01,-0.43,4.09,0,0
4.69,0.06,4.82,-0.0,0.83,11.53,1,22
5.98,0.74,5.82,0.14,0.86,16.51,1,16
0.18,0.8,0.13,-0.01,-0.06,4.11,0,0
0.92,0.76,0.97,0.07,-0.4,-0.77,0,0
1.59,0.89,1.06,-0.03,0.12,9.58,0,0
0.02,1.21,0.04,0.04,-0.01,2.92,0,0
0.88,0.83,1.06,-0.03,-0.1,3.91,0,0
-1.65,0.81,-1.9,-0.02,0.11,-3.17,0,0
-0.08,0.95,-0.05,-0.07,0.09,9.2,0,0
-1.62,0.96,-1.56,0.05,0.02,6.23,0,0
-1.04,0.73,-1.34,-0.01,-0.03,1.19,0,0
1.07,0.88,0.92,-0.01,-0.34,1.85,0,0
5.83,0.58,5.89,0.16,1.08,24.16,1,16
5.24,0.02,5.01,0.07,0.71,17.86,1,16
3.71,0.31,3.66,0.09,1.08,19.3,1,19
4.99,0.3,4.85,0.18,0.57,17.38,1,18
0.44,0.81,0.83,0.05,0.01,6.31,0,0
-0.98,0.97,-0.93,0.02,-0.15,7.86,0,0
4.42,0.25,4.36,0.12,0.86,23.82,1,12
4.67,0.03,4.69,0.11,0.56,26.43,1,20
-0.48,1.18,-0.85,0.07,-0.04,6.14,0,0
6.21,0.35,5.95,0.12,0.73,23.1,1,15
5.96,0.43,5.83,0.08,0.66,17.2,1,16
5.58,0.38,5.46,0.08,1.01,18.04,1,18
0.37,0.91,0.19,-0.03,0.05,-2.6,0,0
0.18,0.67,0.13,0.06,0.07,15.32,0,0
5.0,0.15,4.66,0.17,0.79,7.65,1,13
5.74,0.21,5.82,0.15,0.85,17.71,1,13
0.0,0.77,-0.1,-0.05,-0.19,-7.47,0,0
4.06,0.31,4.31,0.06,0.74,16.08,1,17
6.91,0.16,6.83,0.22,0.51,18.05,1,12
5.3,0.54,4.99,0.17,0.92,15.7,1,17
1.04,0.67,1.11,0.0,0.15,3.95,0,0
1.11,0.89,0.84,-0.04,0.03,1.58,0,0
4.46,0.18,4.54,0.06,0.76,11.75,1,18
-0.85,0.45,-0.73,-0.02,0.19,7.4,0,0
6.02,0.49,6.33,0.14,0.56,9.26,1,15
5.22,-0.23,4.43,0.15,0.73,16.35,1,11
4.16,0.05,4.62,0.12,0.87,18.49,1,15
-0.36,0.73,0.12,0.03,-0.25,1.62,0,0
0.36,0.81,0.11,-0.0,0.12,3.92,0,0
6.56,0.02,6.82,0.04,0.65,17.6,1,15
-0.22,1.0,0.03,0.06,0.22,0.37,0,0
5.48,0.6,5.72,0.03,0.91,19.23,1,19
5.36,0.34,5.95,0.07,0.23,13.97,1,13
5.81,0.61,5.82,0.13,0.87,14.32,1,12
6.63,0.64,6.38,0.14,0.63,22.81,1,18
4.88,0.13,4.51,0.04,0.52,13.95,1,15
-0.47,0.69,-0.25,-0.03,0.21,4.19,0,0
1.18,0.83,1.36,0.06,0.03,2.47,0,0
1.51,0.51,1.44,-0.0,-0.02,-1.39,0,0
2.1,0.87,2.03,0.01,-0.02,-1.96,0,0
6.35,0.42,6.2,0.07,1.0,15.58,1,11
-0.31,0.89,-0.49,0.0,0.21,-3.57,0,0
0.98,0.82,0.8,-0.06,0.12,3.54,0,0
1.02,0.85,0.55,-0.0,0.19,-8.02,0,0
-1.51,0.59,-1.27,0.01,-0.29,4.18,0,0
4.95,-0.06,4.55,0.15,0.73,13.72,1,13
1.85,0.62,1.48,-0.01,0.28,-2.21,0,0
6.25,0.53,6.48,0.15,0.66,26.11,1,13
1.18,0.8,1.01,0.08,0.19,4.77,0,0
3.18,0.3,3.14,0.04,1.03,9.11,1,17
0.97,0.95,0.8,0.01,-0.22,-3.62,0,0
5.72,0.34,5.76,0.13,0.59,19.52,1,12
4.72,0.36,5.14,0.06,0.65,20.31,1,17
5.17,0.36,5.1,0.16,0.92,14.96,1,13
5.11,0.39,4.79,0.03,0.85,10.48,1,13
0.52,1.04,0.96,-0.04,0.01,10.43,0,0
6.8,-0.0,6.84,0.01,0.53,11.81,1,19
5.66,0.05,5.23,0.06,1.17,21.93,1,20
4.87,0.13,4.75,0.09,1.0,14.1,1,14
-0.67,0.5,-0.79,-0.06,-0.11,8.26,0,0
-0.64,0.93,-0.74,-0.04,-0.18,2.46,0,0
1.39,0.9,1.6,0.01,-0.01,7.52,0,0
5.07,0.15,5.48,0.07,1.15,20.56,1,16
5.52,0.53,5.59,0.2,0.62,6.36,1,14
0.26,0.83,0.42,0.03,-0.42,5.53,0,0
-0.47,1.13,-0.36,0.04,0.56,-1.22,0,0
4.75,0.27,4.71,0.07,0.8,13.13,1,14
0.63,1.12,0.76,-0.06,0.21,3.53,0,0
4.48,0.15,4.71,0.16,1.0,21.42,1,16
3.35,0.23,3.31,0.15,0.61,10.28,1,15
4.0,0.32,3.87,0.09,0.44,11.11,1,12
-0.8,0.56,-1.19,0.04,0.11,-2.88,0,0
6.08,0.39,5.83,0.08,0.48,16.82,1,14
1.26,0.57,1.02,-0.12,0.16,0.98,0,0
0.61,0.65,0.14,0.03,-0.17,11.45,0,0
6.32,0.25,6.52,0.01,1.03,23.04,1,18
2.12,0.79,2.28,0.1,-0.3,-3.13,0,0
5.23,0.49,5.35,0.09,0.77,17.26,1,18
0.48,0.72,0.34,0.07,0.23,10.9,0,0
5.96,0.69,5.45,0.07,0.82,17.42,1,13
1.55,1.25,1.55,-0.01,0.12,12.29,0,0
0.82,0.83,1.08,0.14,-0.19,-0.77,0,0
0.42,0.88,0.32,0.04,-0.05,4.97,0,0
5.81,0.69,6.1,0.08,0.82,16.93,1,19
1.55,1.04,1.61,-0.08,-0.13,2.4,0,0
4.9,0.53,4.95,0.1,0.98,11.12,1,12
0.8,0.53,1.1,-0.1,0.34,0.81,0,0
0.89,0.56,0.97,-0.01,0.04,6.54,0,0
1.0,0.75,1.28,-0.06,0.07,5.53,0,0
0.76,1.19,0.82,-0.03,0.1,6.84,0,0
4.17,0.14,4.68,0.11,0.76,17.7,1,13
1.85,0.91,1.28,-0.06,-0.26,10.18,0,0
4.37,-0.01,4.56,0.09,0.65,15.36,1,15
4.91,0.12,5.32,0.11,0.59,20.48,1,13
4.66,0.35,4.57,0.1,1.1,14.48,1,17
0.4,0.71,0.64,0.05,-0.25,8.72,0,0
-1.33,1.03,-1.22,0.0,-0.07,1.63,0,0
2.93,0.03,2.81,0.12,0.88,11.1,1,15
5.11,0.56,4.67,0.18,0.73,24.64,1,15
3.14,0.77,3.51,0.07,0.1,3.05,0,0
1.21,1.01,1.3,0.06,0.46,0.51,0,0
7.59,0.35,8.21,0.17,0.71,11.41,1,18
0.05,1.02,0.56,0.03,0.07,0.12,0,0
3.65,0.36,3.46,0.08,0.81,14.28,1,13
-0.04,1.02,0.24,-0.0,0.19,4.15,0,0
1.48,0.98,1.59,0.03,-0.35,-3.07,0,0
6.14,-0.13,6.4,0.1,0.98,16.75,1,16
5.65,0.48,5.66,0.2,0.97,8.76,1,10
5.83,0.35,5.63,0.09,0.56,15.66,1,14
4.76,0.49,4.32,0.07,1.22,23.49,1,15
0.64,0.73,0.53,-0.01,0.06,0.9,0,0
4.29,0.44,3.98,0.09,0.51,9.16,1,11
2.17,0.71,2.02,-0.05,0.25,5.14,0,0
1.09,0.85,0.47,0.06,0.35,3.43,0,0
0.82,0.41,1.15,0.05,-0.28,-5.07,0,0
5.11,0.23,4.92,0.07,0.9,16.31,1,14
-1.28,0.72,-1.36,0.02,0.19,3.88,0,0
-1.06,1.12,-1.21,0.02,0.05,-0.22,0,0
-0.55,0.82,-0.46,-0.03,0.02,-0.35,0,0
4.51,0.69,4.71,0.13,0.54,8.48,1,11
6.21,0.39,6.31,0.14,1.0,14.56,1,17
0.49,0.63,0.75,-0.03,0.14,7.42,0,0
0.35,0.73,0.07,-0.01,-0.27,-1.75,0,0
4.46,0.55,4.93,0.09,0.63,12.36,1,13
0.7,0.7,0.92,0.03,0.29,4.86,0,0
4.68,0.32,4.35,0.06,0.72,11.81,1,13
-1.92,0.94,-1.81,-0.01,0.2,0.88,0,0
4.56,0.12,4.52,0.03,0.42,23.22,1,13
5.24,0.27,5.26,0.05,0.6,15.88,1,10
0.53,1.14,0.61,-0.03,-0.29,5.47,0,0
1.4,0.82,1.77,-0.03,0.01,6.0,0,0
6.43,0.33,6.42,0.14,0.82,14.84,1,18
-0.56,0.72,-0.73,0.05,0.55,-2.63,0,0
1.77,1.29,1.67,-0.02,-0.1,-2.36,0,0
4.79,0.22,4.68,0.08,1.03,15.59,1,14
7.27,0.25,8.12,0.07,0.86,15.08,1,14
-0.05,0.98,-0.0,0.01,-0.16,3.19,0,0
0.75,0.82,0.57,0.02,0.06,2.5,0,0
4.71,0.07,4.62,0.17,0.9,13.01,1,11
4.17,0.29,4.0,0.06,0.66,21.31,1,13
5.42,0.31,5.38,0.08,0.59,13.45,1,11
6.45,0.67,6.43,0.03,0.83,13.43,1,14
4.5,0.43,4.67,0.1,0.3,15.69,1,14
1.77,0.84,1.63,-0.03,0.01,-1.83,0,0
4.92,0.51,5.0,0.09,1.04,15.07,1,10
0.95,0.6,1.08,-0.01,0.03,-2.11,0,0
4.57,0.24,4.48,0.08,0.99,20.83,1,16
5.01,0.58,4.89,0.14,0.84,10.83,1,15
4.61,0.46,4.97,0.19,0.79,19.66,1,19
3.28,0.47,2.84,0.03,0.77,12.31,1,17
0.37,0.72,0.36,0.01,-0.03,0.8,0,0
1.77,0.9,1.35,0.07,-0.31,1.93,0,0
4.51,0.22,4.53,0.13,0.73,14.31,1,10
1.38,0.85,1.09,0.01,-0.29,2.19,0,0
2.66,0.12,2.69,0.13,0.35,20.11,1,10
